"Timestamp","TZ","Pressure (bar)"
2019/04/04 11:19:52.000,n,7.276657
2019/04/04 11:19:56.000,n,7.315431
2019/04/04 11:20:00.000,n,7.363022
2019/04/04 11:20:04.000,n,7.393287
2019/04/04 11:20:08.000,n,7.407191
2019/04/04 11:20:12.000,n,7.40515
2019/04/04 11:20:16.000,n,7.208253
2019/04/04 11:20:20.002,n,7.088894
2019/04/04 11:20:24.000,n,7.049587
2019/04/04 11:20:28.000,n,7.012767
2019/04/04 11:20:32.000,n,6.97719
2019/04/04 11:20:36.000,n,6.943879
2019/04/04 11:20:40.000,n,6.93394
2019/04/04 11:20:44.000,n,6.970083
2019/04/04 11:20:48.000,n,7.020696
2019/04/04 11:20:52.000,n,7.07606
2019/04/04 11:20:56.000,n,7.138844
2019/04/04 11:21:00.000,n,7.189662
2019/04/04 11:21:04.001,n,7.22163
2019/04/04 11:21:08.000,n,7.240978
2019/04/04 11:21:12.000,n,7.16965
2019/04/04 11:21:16.000,n,6.992632
2019/04/04 11:21:20.000,n,7.034527
2019/04/04 11:21:24.000,n,7.08828
2019/04/04 11:21:28.000,n,7.14251
2019/04/04 11:21:32.000,n,7.177617
2019/04/04 11:21:36.000,n,7.196404
2019/04/04 11:21:40.000,n,7.201306
2019/04/04 11:21:44.000,n,7.230384
2019/04/04 11:21:48.002,n,7.279719
2019/04/04 11:21:52.000,n,7.325025
2019/04/04 11:21:56.000,n,7.351379
2019/04/04 11:22:00.000,n,7.363632
2019/04/04 11:22:04.000,n,7.359551
2019/04/04 11:22:08.000,n,7.343605
2019/04/04 11:22:12.000,n,7.062418
2019/04/04 11:22:16.001,n,7.074019
2019/04/04 11:22:20.000,n,7.113554
2019/04/04 11:22:24.000,n,7.163533
2019/04/04 11:22:28.000,n,7.21296
2019/04/04 11:22:32.004,n,7.244035
2019/04/04 11:22:36.000,n,7.257694
2019/04/04 11:22:40.000,n,7.254224
2019/04/04 11:22:44.000,n,7.27135
2019/04/04 11:22:48.000,n,7.313386
2019/04/04 11:22:52.000,n,7.358936
2019/04/04 11:22:56.000,n,7.386939
2019/04/04 11:23:00.002,n,7.397582
2019/04/04 11:23:04.000,n,7.389606
2019/04/04 11:23:08.000,n,7.132927
2019/04/04 11:23:12.000,n,7.095207
2019/04/04 11:23:16.004,n,7.12844
2019/04/04 11:23:20.000,n,7.176393
2019/04/04 11:23:24.000,n,7.225697
2019/04/04 11:23:28.001,n,7.255044
2019/04/04 11:23:32.000,n,7.26809
2019/04/04 11:23:36.000,n,7.262177
2019/04/04 11:23:40.000,n,7.275637
2019/04/04 11:23:44.002,n,7.315431
2019/04/04 11:23:48.000,n,7.362207
2019/04/04 11:23:52.000,n,7.390005
2019/04/04 11:23:56.000,n,7.400443
2019/04/04 11:24:00.005,n,7.396762
2019/04/04 11:24:04.000,n,7.207032
2019/04/04 11:24:08.000,n,7.094807
2019/04/04 11:24:12.001,n,7.122937
2019/04/04 11:24:16.000,n,7.168635
2019/04/04 11:24:20.000,n,7.219995
2019/04/04 11:24:24.000,n,7.254023
2019/04/04 11:24:28.003,n,7.27115
2019/04/04 11:24:32.000,n,7.27176
2019/04/04 11:24:36.000,n,7.254433
2019/04/04 11:24:40.000,n,7.233031
2019/04/04 11:24:44.000,n,7.208669
2019/04/04 11:24:48.000,n,7.187416
2019/04/04 11:24:52.000,n,7.164958
2019/04/04 11:24:56.002,n,7.149452
2019/04/04 11:25:00.000,n,7.098059
2019/04/04 11:25:04.000,n,6.93394
2019/04/04 11:25:08.000,n,6.985325
2019/04/04 11:25:12.004,n,7.045517
2019/04/04 11:25:16.000,n,7.099283
2019/04/04 11:25:20.000,n,7.134763
2019/04/04 11:25:24.001,n,7.153324
2019/04/04 11:25:28.000,n,7.16986
2019/04/04 11:25:32.000,n,7.211324
2019/04/04 11:25:36.000,n,7.264622
2019/04/04 11:25:40.003,n,7.306653
2019/04/04 11:25:44.000,n,7.331561
2019/04/04 11:25:48.000,n,7.34055
2019/04/04 11:25:52.001,n,7.335233
2019/04/04 11:25:56.005,n,7.319308
2019/04/04 11:26:00.000,n,7.056711
2019/04/04 11:26:04.000,n,7.08869
2019/04/04 11:26:08.003,n,7.137413
2019/04/04 11:26:12.000,n,7.189461
2019/04/04 11:26:16.000,n,7.221831
2019/04/04 11:26:20.000,n,7.23649
2019/04/04 11:26:24.004,n,7.234865
2019/04/04 11:26:28.000,n,7.254433
2019/04/04 11:26:32.000,n,7.298285
2019/04/04 11:26:36.001,n,7.344431
2019/04/04 11:26:40.005,n,7.372225
2019/04/04 11:26:44.000,n,7.381423
2019/04/04 11:26:48.000,n,7.374675
2019/04/04 11:26:52.003,n,7.353824
2019/04/04 11:26:56.000,n,7.104176
2019/04/04 11:27:00.000,n,7.073003
2019/04/04 11:27:04.000,n,7.111313
2019/04/04 11:27:08.005,n,7.161692
2019/04/04 11:27:12.000,n,7.210299
2019/04/04 11:27:16.000,n,7.241594
2019/04/04 11:27:20.002,n,7.256264
2019/04/04 11:27:24.006,n,7.253824
2019/04/04 11:27:28.000,n,7.267073
2019/04/04 11:27:32.000,n,7.307879
2019/04/04 11:27:36.004,n,7.35587
2019/04/04 11:27:40.000,n,7.385309
2019/04/04 11:27:44.000,n,7.396968
2019/04/04 11:27:48.001,n,7.394712
2019/04/04 11:27:52.007,n,7.21275
2019/04/04 11:27:56.000,n,7.091541
2019/04/04 11:28:00.000,n,7.120076
2019/04/04 11:28:04.003,n,7.164553
2019/04/04 11:28:08.007,n,7.216635
2019/04/04 11:28:12.000,n,7.252398
2019/04/04 11:28:16.000,n,7.270745
2019/04/04 11:28:20.004,n,7.271965
2019/04/04 11:28:24.000,n,7.269109
2019/04/04 11:28:28.000,n,7.302772
2019/04/04 11:28:32.001,n,7.353215
2019/04/04 11:28:36.006,n,7.387555
2019/04/04 11:28:40.000,n,7.405765
2019/04/04 11:28:44.001,n,7.409242
2019/04/04 11:28:48.004,n,7.354439
2019/04/04 11:28:52.000,n,7.106211
2019/04/04 11:28:56.000,n,7.064655
2019/04/04 11:29:00.000,n,7.026392
2019/04/04 11:29:04.006,n,6.989997
2019/04/04 11:29:08.000,n,6.957486
2019/04/04 11:29:12.000,n,6.933325
2019/04/04 11:29:16.002,n,6.960123
2019/04/04 11:29:20.007,n,7.0091
2019/04/04 11:29:24.000,n,7.067301
2019/04/04 11:29:28.000,n,7.129866
2019/04/04 11:29:32.005,n,7.179659
2019/04/04 11:29:36.000,n,7.21398
2019/04/04 11:29:40.000,n,7.232625
2019/04/04 11:29:44.002,n,7.23405
2019/04/04 11:29:48.006,n,6.986541
2019/04/04 11:29:52.000,n,7.026188
2019/04/04 11:29:56.000,n,7.081962
2019/04/04 11:30:00.003,n,7.134763
2019/04/04 11:30:04.008,n,7.169251
2019/04/04 11:30:08.000,n,7.188026
2019/04/04 11:30:12.000,n,7.195789
2019/04/04 11:30:16.005,n,7.225897
2019/04/04 11:30:20.000,n,7.275021
2019/04/04 11:30:24.000,n,7.320528
2019/04/04 11:30:28.002,n,7.347698
2019/04/04 11:30:32.007,n,7.360776
2019/04/04 11:30:36.000,n,7.360976
2019/04/04 11:30:40.000,n,7.347087
2019/04/04 11:30:44.004,n,7.101119
2019/04/04 11:30:48.009,n,7.06506
2019/04/04 11:30:52.000,n,7.10295
2019/04/04 11:30:56.001,n,7.153324
2019/04/04 11:31:00.006,n,7.202742
2019/04/04 11:31:04.000,n,7.233851
2019/04/04 11:31:08.000,n,7.249336
2019/04/04 11:31:12.003,n,7.247706
2019/04/04 11:31:16.008,n,7.261771
2019/04/04 11:31:20.000,n,7.302362
2019/04/04 11:31:24.000,n,7.350758
